HRS_ALL,,,,,,,,,,,,,HRS_PA,,,,,,,,,,,,,HRS_PAS,,,,,,,,,,,,,HRS_NAT,,,,,,,HRS_HUNT,,,,,,,,,,,,,TUS,,,,
Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,,,,Substrate,,,,,,Effort,,,,,,,Substrate,,,,
Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,SO1,SO2,SO3,SO4,,,Site,Sub_SO1,Sub_SO2,Sub_SO3,Sub_SO4,,Site,Eff_SO1,Eff_SO2,Eff_SO3,Eff_SO4,,,Site,SO1,SO2,SO3,SO4
155,1.9,1.3,1.1,NA,,155,10,10,7,NA,,,158,1.8,1.3,1.2,1,,158,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25_04,2,2,2,2
156,1.9,2.3,2.9,3,,156,10,10,10,2,,,163,3,2.555555556,NA,NA,,163,10,9,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25_05,3,2,2,2
157,1.5,1.6,1.6,1.7,,157,10,10,10,6,,,164,4.2,4.6,2.7,3,,164,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25_06,2,2,3,3
158,1.8,1.3,1.2,1,,158,10,10,10,10,,,165,3,3.1,3.2,3.166666667,,165,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25_07,3,3,3,2
159,1.3,1.4,1.6,1,,159,10,10,10,10,,,166,3,3,3.1,3.333333333,,166,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25_08,2,2,3,3
160,1,1.7,3.7,NA,,160,10,10,7,NA,,,167,3.1,3.2,NA,NA,,167,10,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_01,1,1,2,2
163,3,2.6,NA,NA,,163,10,9,NA,NA,,,171,2.8,3,NA,NA,,171,10,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_02,1,1,1,1
164,4.2,4.6,2.7,3,,164,10,10,10,2,,,173,3.7,2.6,1.4,1.777777778,,173,10,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_03,1,1,2,1
165,3,3.1,3.2,3.2,,165,10,10,10,6,,,174,2,1.9,1,1,,174,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_04,1,1,1,2
166,3,3,3.1,3.3,,166,10,10,10,3,,,175,1,1,1.1,3.5,,175,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_05,2,2,3,2
167,3.1,3.2,NA,NA,,167,10,5,NA,NA,,,176,1.4,1.2,1,1,,176,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_06,2,2,2,2
171,2.8,3,NA,NA,,171,10,5,NA,NA,,,184,3.1,4,NA,NA,,184,10,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_07,3,3,3,2
173,3.7,2.6,1.4,1.8,,173,10,10,10,9,,,185,3,3,2.75,NA,,185,10,10,8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_08,3,2,3,2
174,2,1.9,1,1,,174,10,10,10,2,,,186,2.7,2.6,2.7,3,,186,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_09,2,2,3,3
175,1,1,1.1,3.5,,175,10,10,10,6,,,189,1,1.2,1.3,2,,189,10,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26_10,2,3,.,.
176,1.4,1.2,1,1,,176,10,10,10,6,,,190,1.6,1.5,1.6,1.5,,190,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_01,3,3,2,2
177,3,2.4,2.7,NA,,177,10,10,6,NA,,,191,2,2,2,2,,191,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_02,3,2,3,2
178,5,4.7,1.3,1,,178,10,10,10,3,,,192,2.2,2.5,2.3,2.2,,192,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_03,2,2,2,2
184,3.1,4,NA,NA,,184,10,2,NA,NA,,,193,1.2,2.2,2.2,2.5,,193,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_04,2,2,2,2
185,3,3,2.8,NA,,185,10,10,8,NA,,,204,1.6,1.8,2,2,,204,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_05,3,2,2,2
186,2.7,2.6,2.7,3,,186,10,10,10,2,,,205,1.7,2,1.8,2.5,,205,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_06,2,1,2,2
189,1,1.2,1.3,2,,189,10,10,10,4,,,206,1.3,1.2,1.25,NA,,206,10,10,8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_07,1,2,2,2
190,1.6,1.5,1.6,1.5,,190,10,10,10,2,,,207,1.5,1.9,2.428571429,NA,,207,10,10,7,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_08,3,2,2,2
191,2,2,2,2,,191,10,10,10,2,,,208,1.2,1,1,1,,208,10,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_09,2,3,2,3
192,2.2,2.5,2.3,2.2,,192,10,10,10,10,,,209,2.3,1.5,1.5,2.5,,209,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_10,2,2,2,2
193,1.2,2.2,2.2,2.5,,193,10,10,10,6,,,210,2.1,1.8,3,3,,210,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_11,2,2,.,.
194,1.1,1.3,NA,NA,,194,10,10,NA,NA,,,224,1.1,1.2,1.6,2,,224,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_12,1,2,1,1
195,1.7,2.3,2.8,NA,,195,10,10,4,NA,,,225,2,2.1,4.7,5,,225,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_13,2,1,2,1
196,1.7,4.3,NA,NA,,196,10,7,NA,NA,,,226,2.9,3,2.8,3,,226,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27_14,2,2,.,.
204,1.6,1.8,2,2,,204,10,10,10,2,,,227,1.5,1.6,1.7,2,,227,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_01,1,3,2,2
205,1.7,2,1.8,2.5,,205,10,10,10,2,,,228,1.2,2.1,2,NA,,228,10,10,9,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_02,2,2,1,1
206,1.3,1.2,1.3,NA,,206,10,10,8,NA,,,238,2.5,3,NA,NA,,238,10,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_03,2,2,2,2
207,1.5,1.9,2.4,NA,,207,10,10,7,NA,,,239,3,2.75,NA,NA,,239,10,8,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_04,2,2,3,2
208,1.2,1,1,1,,208,10,10,10,4,,,241,1.7,1.5,1.5,NA,,241,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_05,2,2,2,1
209,2.3,1.5,1.5,2.5,,209,10,10,10,2,,,242,1,1.7,1.2,1,,242,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_06,1,1,2,1
210,2.1,1.8,3,3,,210,10,10,10,2,,,243,3.3,2.6,2.9,2,,243,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_07,2,2,.,.
211,1.8,2.2,1.5,5,,211,10,10,10,2,,,244,2.6,2.1,2.333333333,NA,,244,10,10,6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_08,2,2,2,3
212,2.3,2,NA,NA,,212,10,4,NA,NA,,,245,1.3,1.5,NA,NA,,245,10,10,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_09,3,2,2,3
213,1.5,2.6,4.7,5,,213,10,10,10,2,,,255,4,2.3,2,NA,,255,10,10,6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_10,3,3,2,2
224,1.1,1.2,1.6,2,,224,10,10,10,2,,,257,1.1,2.5,2.9,3,,257,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_11,2,2,2,2
225,2,2.1,4.7,5,,225,10,10,10,2,,,258,1.3,1.166666667,NA,NA,,258,10,6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_12,2,3,3,2
226,2.9,3,2.8,3,,226,10,10,10,2,,,259,1.4,1.4,1,1.666666667,,259,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_13,3,3,3,3
227,1.5,1.6,1.7,2,,227,10,10,10,10,,,261,1,1,2.1,NA,,261,10,10,10,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_14,3,2,2,3
228,1.2,2.1,2,NA,,228,10,10,9,NA,,,273,1.9,1.9,3,NA,,273,10,10,8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_15,2,3,3,2
229,2.1,2.3,4.2,5,,229,10,10,10,2,,,275,1.1,1.4,1.2,1,,275,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28_16,2,2,.,.
230,3.3,2.9,3.5,NA,,230,10,10,2,NA,,,276,1,1,1.1,1,,276,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_01,2,2,2,2
231,2.6,3.9,3.4,2,,231,10,10,10,2,,,279,1,1.6,2.333333333,NA,,279,10,10,6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_02,2,2,2,2
238,2.5,3,NA,NA,,238,10,2,NA,NA,,,362,2.2,2,NA,NA,,362,10,8,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_03,2,2,2,1
239,3,2.8,NA,NA,,239,10,8,NA,NA,,,363,1.8,1.9,2.1,2.4,,363,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_04,2,2,2,2
241,1.7,1.5,1.5,NA,,241,10,10,4,NA,,,364,2.3,1.5,1.5,NA,,364,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_05,2,2,2,2
242,1,1.7,1.2,1,,242,10,10,10,2,,,370,2.3,2.1,2.4,2.25,,370,10,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_06,2,2,2,2
243,3.3,2.6,2.9,2,,243,10,10,10,2,,,371,2.6,3,2.4,3.555555556,,371,10,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_08,2,2,2,2
244,2.6,2.1,2.3,NA,,244,10,10,6,NA,,,372,1.7,1.8,2.6,2.5,,372,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29_09,2,2,2,.
245,1.3,1.5,1.2,NA,,245,10,10,10,NA,,,373,2,2,1.5,NA,,373,10,10,6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39_01,1,2,1,2
246,2.5,3.4,NA,NA,,246,10,8,NA,NA,,,378,2.4,2.4,1.9,2,,378,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39_02,1,2,2,1
247,2.2,2.2,3.4,2.5,,247,10,10,10,2,,,380,2.8,2.2,2.2,2.7,,380,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39_03,1,3,2,3
248,2.4,2.1,5,5,,248,10,10,10,2,,,381,1.9,2.3,2.8,2.2,,381,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39_04,3,3,4,3
255,4,2.3,2,NA,,255,10,10,6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39_05,3,3,2,2
257,1.1,2.5,2.9,3,,257,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39_06,2,2,2,2
258,1.3,1.2,NA,NA,,258,10,6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39_07,3,2,3,2
259,1.4,1.4,1,1.7,,259,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39_08,3,3,2,2
261,1,1,2.1,5,,261,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_01,1,1,1,1
262,2,4.8,NA,NA,,262,10,10,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_02,2,2,2,2
263,2.2,1.8,2,NA,,263,10,10,8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_03,2,2,2,2
273,1.9,1.9,3,NA,,273,10,10,8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_04,3,2,3,2
274,3.2,2,NA,NA,,274,10,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_05,2,3,2,3
275,1.1,1.4,1.2,1,,275,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_06,2,2,3,4
276,1,1,1.1,1,,276,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_07,2,3,2,2
279,1,1.6,2.3,NA,,279,10,10,6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_08,2,2,3,2
280,1.1,2.3,5,5,,280,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_09,2,2,3,3
281,2,4.1,5,5,,281,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40_10,4,4,3,.
292,3.8,4.7,3.2,4,,292,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41_01,3,2,3,3
293,2.2,4.6,5,NA,,293,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41_02,2,3,3,3
294,2.1,1.9,3,NA,,294,10,10,7,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41_03,3,3,3,2
296,1.4,2.3,3.5,NA,,296,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41_04,2,2,2,2
297,2,2,NA,NA,,297,10,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41_05,2,2,2,2
298,2.1,2.8,5,NA,,298,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41_06,2,3,2,2
309,2,3.8,5,NA,,309,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41_07,2,2,3,2
310,3.8,2.7,4.1,5,,310,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41_08,2,3,.,.
311,3.1,3.7,5,NA,,311,10,10,8,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42_01,2,2,2,2
312,1.7,1.6,1,NA,,312,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42_02,4,2,2,4
313,2.7,3.3,NA,NA,,313,10,10,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42_03,2,2,4,4
316,2,4.4,5,NA,,316,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42_04,2,4,4,4
327,2.8,3,NA,NA,,327,10,2,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42_05,2,4,4,2
328,3.1,2.6,4.8,NA,,328,10,10,10,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42_06,4,2,.,.
329,2.1,2.3,4.4,5,,329,10,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_01,2,1,1,1
330,3.5,5,5,NA,,330,10,10,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_02,1,1,2,1
355,2,5,NA,NA,,355,10,6,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_03,2,1,1,1
362,2.2,2,NA,NA,,362,10,8,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_04,1,2,3,3
363,1.8,1.9,2.1,2.4,,363,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_05,1,1,2,1
364,2.3,1.5,1.5,NA,,364,10,10,4,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_06,1,2,2,1
370,2.3,2.1,2.4,2.3,,370,10,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_07,1,1,1,1
371,2.6,3,2.4,3.6,,371,10,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_08,1,1,1,1
372,1.7,1.8,2.6,2.5,,372,10,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_09,1,1,1,1
373,2,2,1.5,NA,,373,10,10,6,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43_10,1,1,1,1
378,2.4,2.4,1.9,2,,378,10,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44_01,1,1,1,.
380,2.8,2.2,2.2,2.7,,380,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44_02,2,2,2,2
381,1.9,2.3,2.8,2.2,,381,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44_03,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44_04,2,2,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44_05,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44_06,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44_07,2,2,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_01,2,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_02,2,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_03,3,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_04,3,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_05,3,3,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_06,2,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_01ALT,2,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_02ALT,2,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_03ALT,2,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_04ALT,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_05ALT,1,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_06ALT,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_07ALT,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45_08ALT,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_01,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_02,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_03,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_04,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_05,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_06,1,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_07,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_08,2,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46_09,1,1,1,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47_01,2,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47_02,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47_03,2,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47_04,1,2,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47_05,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47_06,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47_07,1,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47_08,1,2,1,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48_01,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48_02,3,3,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48_03,3,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48_04,2,3,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48_05,2,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_01,2,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_02,2,2,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_03,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_04,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56_05,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_01,2,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_02,2,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_03,4,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_04,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_05,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_06,2,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_07,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_08,2,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57_09,4,4,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58_01,1,1,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58_02,2,2,1,1
